x,I,I_min,I_max,I_norm
0,2523,320,3148.046729,0.778982885
0.621,2376,,3148.975327,0.72676491
1.243,2010,,3149.905421,0.597193103
1.864,1533,m,3150.834019,0.428495628
2.486,1110,1.495327103,3151.764112,0.278978039
3.107,799,,3152.69271,0.169097057
3.729,584,c,3153.622804,0.093166952
4.35,569,3148.046729,3154.551402,0.087844588
4.972,749,,3155.481495,0.151297055
5.593,1071,,3156.410093,0.264771304
6.215,1473,,3157.340187,0.4063665
6.836,1902,,3158.268785,0.557382024
7.458,2298,,3159.198879,0.696675395
8.079,2645,,3160.127477,0.818625227
8.701,2924,,3161.05757,0.916560096
9.322,3052,,3161.986168,0.961299541
9.944,3163,,3162.916262,1.000029455
10.565,3136,,3163.84486,0.990208728
11.187,3077,,3164.774953,0.969145203
11.808,2946,,3165.703551,0.922794646
12.43,2825,,3166.633645,0.879986789
13.051,2693,,3167.562243,0.833344383
13.673,2502,,3168.492336,0.766019263
14.294,2373,,3169.420935,0.720497268
14.916,2220,,3170.351028,0.666584565
15.537,2030,,3171.279626,0.599730726
16.158,1862,,3172.208224,0.54063374
16.78,1669,,3173.138318,0.472812689
17.401,1489,,3174.066916,0.409590957
18.023,1323,,3174.997009,0.351313853
18.644,1205,,3175.925607,0.309882021
19.266,1114,,3176.855701,0.277927933
19.887,1039,,3177.784299,0.251593516
20.509,1032,,3178.714393,0.249063006
21.13,963,,3179.642991,0.224853243
21.752,908,,3180.573084,0.205553217
22.373,839,,3181.501682,0.181373299
22.995,774,,3182.431776,0.1586064
23.616,702,,3183.360374,0.133409683
24.238,648,,3184.290467,0.114513526
24.859,591,,3185.219065,0.094582646
25.481,613,,3186.149159,0.102227757
26.102,621,,3187.077757,0.104984945
26.724,648,,3188.00785,0.114365098
27.345,642,,3188.936449,0.112236714
27.967,602,,3189.866542,0.098262409
28.588,568,,3190.79514,0.086387216
29.21,583,,3191.725234,0.091582578
29.831,561,,3192.653832,0.08389455
30.453,530,,3193.583925,0.073079473
31.074,515,,3194.512523,0.067837589
31.696,503,,3195.442617,0.063642376
32.317,457,,3196.371215,0.047629457
32.938,412,,3197.299813,0.031974423
33.56,387,,3198.229907,0.023278196
34.181,386,,3199.158505,0.022923365
34.803,390,,3200.088598,0.024304808
35.424,373,,3201.017196,0.01839628
36.046,377,,3201.94729,0.019778294
36.667,378,,3202.875888,0.020118799
37.289,336,,3203.805981,0.005548223
37.91,320,,3204.734579,0
38.532,333,,3205.664673,0.004505028
39.153,333,,3206.593271,0.004503579
39.775,370,,3207.523364,0.017315877
40.396,381,,3208.451963,0.021118579
41.018,364,,3209.382056,0.01522817
41.639,374,,3210.310654,0.018683113
42.261,370,,3211.240748,0.017293613
42.882,340,,3212.169346,0.006915224
43.504,369,,3213.099439,0.016936853
44.125,409,,3214.028037,0.030752985
44.747,420,,3214.958131,0.034542814
45.368,429,,3215.886729,0.037639594
45.99,432,,3216.816822,0.038663128
46.611,460,,3217.745421,0.048313423
47.233,441,,3218.675514,0.041743203
47.854,415,,3219.604112,0.032763093
48.475,448,,3220.53271,0.044129825
49.097,466,,3221.462804,0.050319446
49.718,466,,3222.391402,0.050303346
50.34,502,,3223.321495,0.062686823
50.961,520,,3224.250093,0.068864593
51.583,594,,3225.180187,0.094314288
52.204,600,,3226.108785,0.096348768
52.826,588,,3227.038879,0.09219003
53.447,590,,3227.967477,0.092848356
54.069,600,,3228.89757,0.096256397
54.69,611,,3229.826168,0.100005974
55.312,626,,3230.756262,0.105127318
55.933,625,,3231.68486,0.104750347
56.555,593,,3232.614953,0.093730206
57.176,574,,3233.543551,0.087179064
57.798,550,,3234.473645,0.07891648
58.419,563,,3235.402243,0.08335042
59.041,563,,3236.332336,0.083323837
59.662,601,,3237.260935,0.096323231
60.284,680,,3238.191028,0.123364097
60.905,722,,3239.119626,0.137712753
61.527,704,,3240.04972,0.13150461
62.148,729,,3240.978318,0.14002158
62.77,764,,3241.908411,0.151955482
